employee_name,user_id,O,C,E,A,N,pos_count,pos_mean,neg_count,neg_mean,neutral_count,neutral_mean
Indira Jocelyn Mack,IJM0776,41,35,19,41,32,2257,0.46278245978826543,1945,-0.4913110632516425,891,-0.057014591197507285
Nicolas Kadeem Hayden,NKH0807,45,44,40,22,20,11947,0.3639993361740209,16918,-0.6513949717852027,4005,-0.0186516856711902
Jade Maris Coleman,JMC0925,33,10,23,19,31,14233,0.45122602667827294,15171,-0.5806341103275829,3466,-0.06038661370998645
Stephanie Briar Harrington,SBH0537,34,21,14,13,33,18266,0.4452096883321362,31676,-0.5166403619601452,5256,-0.03930745872880135
Julie Jaime Burns,JJB0700,15,19,39,37,28,1324,0.4408610314580969,1942,-0.6797116373873764,194,-0.04896907289464449
Amaya Iola Sawyer,AIS0405,40,45,14,37,35,8920,0.4106838613406091,20057,-0.4861843768226225,3893,-0.028384279898941257
Hilda Alice Hahn,HAH0760,34,17,22,37,30,4472,0.4606887301886604,3949,-0.494125105185912,1613,-0.06974581629037857
Aladdin Hu Day,AHD0848,24,30,49,16,30,1692,0.5304964632764635,1897,-0.607538222049058,231,-0.01948051977080184
Lila Dana Mcintyre,LDM0587,49,20,23,21,26,1010,0.5057425821771716,2137,-0.583668697553926,313,-0.03674121460499474
Armand Jasper Nicholson,AJN0607,45,42,16,47,23,12181,0.3972826583957635,35667,-0.526481068427677,8204,-0.044856168391470906
Bevis Brady Sheppard,BBS0039,44,37,34,21,40,5793,0.49720352742516805,9969,-0.5730063228953243,2116,-0.07183364946359948
Emerald Imani Schmidt,EIS0041,41,44,17,48,30,7054,0.29115395848080833,26618,-0.5707340974189121,5598,-0.02413361950931527
Melodie Lee Glenn,MLG0475,45,16,18,19,25,1529,0.4168737823030308,1712,-0.5816004764915348,219,-0.026027397648112415
Hadley Rhona Dillon,HRD0635,24,35,18,32,24,590,0.2933898332765547,1565,-0.527731641003499,455,-0.00945054959137361
Ethan Perry Wiggins,EPW0434,32,36,38,22,33,11381,0.40609789433299986,16319,-0.5522335984437837,5170,-0.03684719590689965
Jena Audrey Malone,JAM0382,25,23,41,17,23,6829,0.4178210600822191,21621,-0.5106054334594795,4420,-0.05950226333009172
Noble Clinton Klein,NCK0295,31,30,38,36,34,838,0.4842482164751089,2263,-0.5932390642637602,359,-0.0470752096151243
Luke Jacob Talley,LJT0817,39,43,38,39,24,11281,0.40389150628890563,18936,-0.6182245517792483,2653,-0.03362231486211217
Chandler Ashton Madden,CAM0102,31,44,19,15,27,9438,0.33077983476946254,17083,-0.5278815220449817,6349,-0.01064734619740408
Suki Ori Grant,SOG0411,26,19,21,24,23,11643,0.3630335919541724,17149,-0.5446440035246908,4078,-0.016748406330983154
Kameko Signe Harrison,KSH0569,15,39,23,14,22,7551,0.40060919999519795,19297,-0.5193242500833682,6022,-0.04324144866826011
Bruno Donovan Ingram,BDI0533,37,36,15,41,19,3389,0.43989378172991095,8624,-0.5624188401568716,1517,-0.04917600600634583
Paula Madaline Jackson,PMJ0564,30,21,40,14,39,13739,0.42217774897818133,14810,-0.5778055420262358,4321,-0.004119416863050375
Hedda Grace Gordon,HGG0240,20,26,24,36,31,8287,0.46791360461015646,20336,-0.5288847419759368,4152,-0.04547206233461928
Mari Gretchen Shaw,MGS0974,17,39,39,40,27,10185,0.5065881310715709,25092,-0.5511836499889112,8043,-0.000634091766255865
Dominic Howard Mcconnell,DHM0937,43,22,21,15,24,7968,0.3705697886021172,18444,-0.5492517943965641,6458,-0.03456178434901505
Evelyn Nevada Curtis,ENC0234,21,23,32,19,23,4578,0.4761904822121337,16919,-0.6237957436183826,3108,-0.03703346258530362
Colin Evan Brown,CEB0210,42,24,44,23,34,18731,0.46126208583804,25889,-0.4703464857858939,4715,-0.010455991672243318
Yvette Jeanette Vang,YJV0699,17,25,30,13,31,894,0.42774049701873357,2085,-0.5611031211966233,481,-0.04698544768558471
Brittany Mona Terry,BMT0528,33,25,39,25,30,2108,0.3213946907348097,6451,-0.5527050172755043,1475,-0.012542373068251853
Caleb Jonas Chang,CJC0494,40,39,39,42,42,12038,0.43386775193991883,35595,-0.4438938082369681,8419,-0.00571326769411401
Sean Omar Burgess,SOB0360,42,22,40,16,32,5672,0.3700458438770139,14222,-0.6014695550087065,5870,-0.04509369743515117
Glenna Caryn Sharpe,GCS0571,22,18,16,23,32,1419,0.44291756158777323,1997,-0.6413119720200867,44,-0.01590909114615484
Beck John Peters,BJP0134,42,17,44,21,39,1332,0.4413663736536159,1861,-0.6170875863209647,267,-0.029588015422169187
Kirby Bo Pollard,KBP0008,23,18,40,11,34,29999,0.5047134901394291,63057,-0.576598949838273,10744,-0.05382539171792084
Fitzgerald Len Merrill,FLM0213,20,41,46,15,24,20555,0.5017854597730319,23969,-0.502428142904161,4811,-0.01793805888297032
Rhonda Rhona Parsons,RRP0568,43,50,38,18,33,8585,0.41161328290063554,18661,-0.48294840115700677,5624,-0.01011735434706189
Maxwell Clark Faulkner,MCF0600,39,49,13,26,27,1113,0.46361187328011305,1145,-0.5745851612507517,195,-0.03230769278911444
Shelly Audra Ayala,SAA0999,20,17,34,11,36,9287,0.29609131423953633,17181,-0.6062103461108395,4672,-0.04094606225397948
Teagan Hedy Romero,THR0873,37,44,21,40,38,12225,0.3623312934836971,39388,-0.5027597310174549,7207,-0.04573331551428094
Kimberley Roary Maldonado,KRM0541,40,20,38,36,23,3542,0.412365901933374,20618,-0.5494713415136531,6890,-0.06303338265189758
Kenneth Steel Porter,KSP0966,42,36,19,24,35,1036,0.42326255544703667,2128,-0.6006109057540509,296,-0.033445946444329376
Lionel Omar Fisher,LOF0311,41,15,36,10,32,8895,0.43590781990901484,39801,-0.5398683464102421,7356,-0.044698206212547824
Montana Basia Roberts,MBR0724,33,44,18,35,31,1488,0.4243951651357835,1866,-0.6373526312945867,106,-0.01603773608803749
Felicia Sloane Cabrera,FSC0601,37,30,37,15,30,9297,0.40370012560355045,29531,-0.5138904878942882,10880,-0.056737133198390334
Medge Liberty Petersen,MLP0668,40,17,16,43,33,7446,0.4136986367518531,20344,-0.5477831391269737,5080,-0.038799213176578515
Charity Uta Daniels,CUD0795,12,40,30,44,24,5863,0.449957364616379,21532,-0.5598458122436428,5475,-0.08259360853667673
Aurora Katell Rhodes,AKR0057,50,41,20,18,30,7664,0.3874347693839019,13870,-0.519502533653183,4929,-0.0321769126320398
Guy Zeus Chandler,GZC0735,44,16,15,27,25,19244,0.1486281460757762,35980,-0.5765591983064768,5823,-0.014975098969497039
Hadassah Leah Harris,HLH0512,15,42,36,22,32,2530,0.5613043559693065,9347,-0.531560939737561,2391,-0.021748222825119356
Norman Jackson Beck,NJB0243,23,35,37,24,34,6969,0.42679007222571524,21743,-0.5522926946901405,4158,-0.07530062642269206
Gregory Curran Sutton,GCS0518,41,36,23,38,21,2306,0.4126626250640217,6338,-0.5697223184052497,1390,-0.053669065547932826
Nicole Macey Craig,NMC0486,42,10,23,21,27,16876,0.3603756807212066,28264,-0.5008420609174986,10588,-0.0003966754875882959
Keegan Marvin Benson,KMB0922,43,43,17,24,27,12458,0.3953844969710917,15795,-0.5727698699399315,4522,-0.020654577928299084
Cecilia Freya Morgan,CFM0767,46,23,22,35,29,4313,0.5149547929208101,5240,-0.525763366320206,481,-0.02869022911774641
Holmes Arden Day,HAD0246,44,39,32,45,38,10994,0.33623795142529095,30699,-0.5286198285519018,5047,-0.09132157853535669
Alexa Nadine Poole,ANP0555,13,40,42,23,28,9206,0.36965023518958584,19314,-0.589111526743113,4350,-0.059701150314903806
Leslie Briar Fields,LBF0214,18,44,18,38,28,19157,0.45360964893891814,38550,-0.45200000365227266,10693,-0.02961750722147178
Dacey Jorden Bowen,DJB0159,20,37,27,38,37,18199,0.33255673790280654,39518,-0.5386836424755015,7833,-0.047631814829519115
Baxter William Price,BWP0202,20,36,15,25,28,11140,0.30912029253422574,23215,-0.553801425915968,5089,-0.041737080598350684
Flavia Fiona Cannon,FFC0891,38,10,39,50,39,1572,0.4280534399289439,3576,-0.508417238604269,536,-0.026492537708202406
Amal Judah Rich,AJR0932,46,30,35,12,29,5956,0.4177803985381723,10177,-0.5909108794018387,2394,-0.02773600709667381
Blair Deborah Vaughn,BDV0168,45,31,19,21,31,5487,0.5045926789684397,17579,-0.5361340248733598,3667,-0.056776657513613785
Cassady Quincy Hampton,CQH0730,21,18,37,49,27,14181,0.13125308730035515,33066,-0.5337627784777761,8805,-0.013867121160639612
Jena Chanda Rollins,JCR0289,32,43,33,33,29,733,0.4251023272680065,2104,-0.645674899935779,623,-0.009470305117041495
Addison Edward Snyder,AES0827,39,40,34,38,23,1157,0.5115816889454706,1889,-0.5803070444083201,404,-0.021534653786237878
Sydnee Leilani Parsons,SLP0762,26,13,40,18,26,2761,0.46628033898147453,6081,-0.5448117143664581,1192,-0.04387583957997544
Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36,1995,0.5544360933746013,6883,-0.578788326757948,1156,-0.007871972435640629
Leo Chaney Daugherty,LCD0622,30,26,13,14,26,12296,0.3886141898867928,34758,-0.5070487428221825,8836,-0.04035762848729675
Caleb Mason Ball,CMB0912,46,43,16,22,31,19806,0.3491012895481491,32269,-0.5433759999619141,8414,-0.029486570441761124
Zenia Kiona Stevenson,ZKS0899,47,20,42,43,30,2818,0.4215755926919711,6560,-0.5684756166324383,598,-0.014882943365585844
James Cain Vargas,JCV0245,40,44,22,20,27,9599,0.5363787919948878,19112,-0.5598681476130901,4159,-0.07129117682572597
Ali Murphy Hurley,AMH0794,43,42,33,40,31,5421,0.35764619360752287,19477,-0.5775068060130549,7972,-0.06452584140305535
Francis Kane Buckner,FKB0163,39,35,25,39,22,8853,0.4526375301942224,19601,-0.5252129993323592,4416,-0.05622735591031665
Amena Karyn Christian,AKC0924,40,44,35,37,27,14170,0.414664788832842,14410,-0.5127342209033797,4290,-0.07948718067163076
Ivory Leandra Rogers,ILR0304,20,22,18,46,30,951,0.5472134647638264,2149,-0.6556537917474082,360,-0.011111111276679568
Arthur John Floyd,AJF0370,37,33,11,15,36,11132,0.4243083053164417,26313,-0.5223729772728897,5000,-0.07260000108182431
Octavius Kelly Castaneda,OKC0107,32,40,16,47,35,7653,0.5028877602752619,21297,-0.5184204382138414,3730,-0.026702413266529668
Oren Clinton Sharpe,OCS0865,29,24,43,35,32,8907,0.458931184741327,39316,-0.5449969519673716,7829,-0.023400179171017083
Urielle Jane Carter,UJC0737,16,12,12,38,25,17916,0.18639205558319913,30304,-0.5409516914921725,7832,-0.019675689772250884
Marshall Benjamin Wilcox,MBW0809,43,45,44,18,19,1182,0.40499154256432995,1457,-0.601647230252552,211,-0.006635071188917657
Martina Cassandra Fields,MCF0327,39,41,24,44,25,8510,0.45486487406453713,38202,-0.4989136725490171,9340,-0.045449679478109524
Sylvester Guy Sanders,SGS0268,47,45,30,19,22,8470,0.3626918667129108,17128,-0.5797582908017176,7272,-0.020943344646513592
Brian Nathaniel Greer,BNG0237,39,36,36,47,27,7636,0.43488738385325265,18416,-0.45026607720098816,6818,-0.026503373818222327
Olympia Shafira Harrison,OSH0655,16,21,42,39,28,2504,0.478274761553342,6321,-0.5623952034289768,1209,-0.013151364960238596
Catherine Savannah Bullock,CSB0080,35,19,39,34,36,8882,0.46544697827897985,23827,-0.5386956003508045,6735,-0.07066072859561434
Ella Rachel Hess,ERH0449,44,15,35,17,25,1331,0.4664162362398822,1808,-0.541703547878537,311,-0.0022508038920604915
Eagan Gannon Koch,EGK0893,21,30,11,47,27,2988,0.6071954589820849,5800,-0.5775172502136436,1246,-0.005698234434830052
Maggy Melissa Burt,MMB0488,21,18,16,24,27,11669,0.5300368515159898,29496,-0.3828281865886897,9055,-0.024638321736548764
Abel Adam Morton,AAM0658,43,35,37,36,22,1329,0.3901429680772434,4510,-0.55288249169974,659,-0.02185129015869002
Eliana Stephanie Albert,ESA0642,32,14,44,30,32,2464,0.47987013475594487,6843,-0.5477714529755031,727,-0.01925722174500173
Chandler Raymond Kirk,CRK0916,32,46,26,19,32,10241,0.44293526447811066,16510,-0.5313688732986014,6119,-0.026883478093028438
Bruno Beau Hoover,BBH0810,40,25,10,21,32,10597,0.41315467054592253,15864,-0.6056038879752309,6409,-0.034342331608635604
Jessica Rachel Freeman,JRF0835,44,33,18,37,18,1123,0.4979519274148788,2006,-0.5500997075084912,331,-0.04773413968410377
Sloane Jade Cochran,SJC0333,22,39,31,36,29,3218,0.4285891886298111,5019,-0.5059972159723334,1797,-0.019254313030372942
Halla Cathleen Simmons,HCS0003,35,28,14,15,30,21357,0.3262115514596013,65038,-0.5906915983973957,12215,-0.05204257138540059
Edan Marsden Briggs,EMB0531,31,41,31,36,36,3596,0.38959956161255166,5407,-0.592805629136912,1031,-0.05150339552982702
Jane Ignacia Mcdonald,JIM0095,10,18,21,15,35,12183,0.4246080695315651,22650,-0.5384635834655751,4611,-0.03524181358088022
Kay Janna Snider,KJS0618,19,15,20,10,37,13203,0.44630766324210797,36156,-0.5152561153302824,6693,-0.07155236921203736
Eaton Burton Crane,EBC0390,40,40,40,22,33,8408,0.35173644844733254,17310,-0.5602079778462046,7152,-0.09818232808495461
Willa Giselle Stanton,WGS0516,11,20,39,20,29,2864,0.5087290567569642,6240,-0.5592468035980486,930,-0.03548387149649282
Nissim Gil French,NGF0157,45,38,22,46,32,6517,0.5410311459324304,23024,-0.5192581693330538,6909,-0.0508756701748094
Katell Amethyst Thornton,KAT0489,22,41,36,23,26,17048,0.5110452832127054,28774,-0.507246128921132,10230,-0.0004496578757131321
Cora Clementine Higgins,CCH0685,47,24,42,34,29,10336,0.32190403414619134,15621,-0.5724601550042633,6913,-0.03824678199621973
Doris Mona Michael,DMM0623,36,27,21,39,30,15156,0.3924254462320537,33238,-0.5713430419532864,9116,-0.032108381347254265
Sylvia Ariana Head,SAH0599,13,22,44,18,22,951,0.4716088435329599,2210,-0.5587782832899245,299,-0.019732441765608198
Connor Phelan Guerra,CPG0322,17,13,19,24,36,11506,0.35825656828296176,31159,-0.5280593108612841,10273,-0.036756546834097
Orson Barrett Houston,OBH0499,35,18,41,16,34,17391,0.4961186818288835,43087,-0.5614825843554965,9344,-0.02765411000111944
Sage Nichole Savage,SNS0129,26,10,43,35,30,7565,0.33389293649046137,26012,-0.5394817833381534,5867,-0.05126981497908118
Philip Keith Barron,PKB0429,34,42,43,40,22,10217,0.47371049541161464,16333,-0.536331359809541,6320,-0.017832278746734313
Nicole Aurelia Hanson,NAH0503,33,17,23,35,38,11004,0.43674118547375007,43237,-0.5240812289021951,9911,-0.036948845268570805
Felicia Rhona Butler,FRB0023,45,14,12,14,14,6400,0.39829688260215335,25739,-0.501561836506447,7305,-0.01805612621019345
Amir Hayden Gray,AHG0634,31,36,42,41,27,1047,0.5007640916388038,3223,-0.5627365882606414,470,-0.04872340498135445
Chadwick Wayne Bond,CWB0065,50,33,14,20,23,10598,0.42269296728736794,19550,-0.5875191832289977,2627,-0.03437381094235815
Aurora Tatiana Payne,ATP0662,17,16,41,20,39,16173,0.4537810011177929,29021,-0.5497708570642534,8145,-0.020073665124166955
Dalton Perry Mejia,DPM0423,37,38,38,15,27,15661,0.3759210866172266,12592,-0.5227843131219171,4617,-0.02427983575274424
Walter Kaseem Foley,WKF0012,37,44,20,45,23,15294,0.458205840478142,40807,-0.5413997680621435,9639,-0.035065878725655406
Jarrod Malik Burris,JMB0308,41,44,34,14,32,8931,0.46068749551863303,13789,-0.5565015602184437,2069,-0.047849203226300124
Amity Kendall Foley,AKF0709,42,31,29,22,32,1113,0.34474394035334,1907,-0.6168327268797125,440,-0.04886363709176129
Jermaine Mannix Hansen,JMH0543,44,25,37,13,34,2149,0.36389018941918544,14614,-0.5682017266581074,4897,-0.080294058782752
Camille Julie Freeman,CJF0802,36,39,38,43,21,7982,0.4584064188914337,18891,-0.5852522365281521,7727,-0.055713731903060684
Ignatius Reese Morton,IRM0931,44,46,33,35,30,14655,0.43497782674859875,23010,-0.5958061755383497,7650,-0.012470588421120364
Fulton Quinn Avery,FQA0854,41,38,30,34,26,8895,0.4380101232305211,38680,-0.5453903866074633,8477,-0.04526365526926691
Cecilia Yuri Ashley,CYA0506,16,17,44,14,31,749,0.4473965336507726,2118,-0.5906987809439782,178,-0.05168539402859934
Gay Ria Cantu,GRC0145,30,43,24,46,27,10858,0.44811199762532344,22417,-0.5931480656864758,6169,-0.04310261046558904
Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31,4083,0.48599069735786654,12356,-0.5575590864072324,2658,-0.031828442912204005
Harlan Jason Benjamin,HJB0742,41,40,16,21,30,13049,0.2482719027651883,20908,-0.5846039789435009,7015,-0.04111190367747611
Kimberley Kiona Sosa,KKS0119,15,28,39,33,27,12423,0.4557916828157782,29495,-0.5221325689679507,7560,-0.0568121701587366
Raymond Arsenio Blackwell,RAB0589,36,35,26,14,31,622,0.4236334520377147,1035,-0.5801932449646042,109,-0.009174312063313405
Demetrius Barry Bullock,DBB0384,40,41,28,37,27,6505,0.2527747943241444,21203,-0.5779323713448185,5162,-0.08537388736283258
Teagan Raven Kennedy,TRK0914,40,19,14,33,30,13371,0.39536310382207984,16580,-0.5849698469069741,2919,-0.07218225527224209
Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29,12833,0.4774253982822707,14968,-0.50710850379931,5069,-0.044643914652225836
Rachel Hermione Le,RHL0992,36,10,39,37,36,6061,0.23699059838057548,8996,-0.6239439778911134,1802,-0.06132075563073158
Caldwell Ian Maxwell,CIM0926,31,25,41,17,31,7526,0.41912038686754316,10560,-0.5130303119139915,3669,-0.03147996776262854
Cassidy Florence Gibbs,CFG0959,42,21,24,17,20,1099,0.3063694325303684,2353,-0.6546961323940343,8,0.0
Vera Mollie Jenkins,VMJ0147,23,28,37,22,24,12052,0.4320942663228763,29539,-0.5601476104383022,7887,-0.04965132570499489
Sawyer Abel Turner,SAT0194,14,19,36,23,35,15224,0.32658960100134155,21608,-0.574190115632668,2612,-0.04911944943025229
