,employee_name,user_id,O,C,E,A,N
285,Elijah Gary Diaz,EGD0409,0,0,0,0,0
286,Dale Benjamin Sharpe,DBS0235,0,0,0,0,0
287,Jael Jennifer Hansen,JJH0613,1,0,0,0,0
288,Ulric Ferdinand Knapp,UFK0208,0,0,0,0,0
289,Brent Laith Beck,BLB0114,0,1,0,0,0
290,Cheyenne Kay Dickerson,CKD0680,0,1,0,0,0
291,Myra Kay Greer,MKG0711,0,0,0,0,0
292,Edward Dean Anthony,EDA0684,0,0,0,0,0
293,Illana Isabelle Lamb,IIL0513,0,0,0,0,0
294,TaShya Savannah Mcgowan,TSM0363,0,0,0,0,0
295,Price Bevis Pittman,PBP0002,1,0,0,0,0
296,Louis Hyatt Bruce,LHB0606,0,0,0,0,0
297,Guy Tad Daniel,GTD0898,0,0,0,0,0
298,Calvin Jarrod Hood,CJH0702,1,0,0,0,0
299,Desirae Mari Koch,DMK0257,0,0,0,0,0
300,Willow Iliana Quinn,WIQ0567,0,0,0,1,0
301,Peter Tad Hartman,PTH0830,0,0,0,0,0
302,Nicholas Cade Owen,NCO0666,0,0,0,0,0
303,Maxwell Hammett Green,MHG0733,0,0,0,0,0
304,Robert Ali Webb,RAW0915,0,1,0,0,0
305,Hillary Ainsley Mccormick,HAM0985,0,0,0,0,0
306,Serina Ariana Butler,SAB0781,0,0,0,0,0
307,Ira Benjamin Mays,IBM0671,1,1,0,0,0
308,Yasir Dexter Nelson,YDN0198,0,1,0,0,0
309,Grace Alma Fry,GAF0060,0,0,0,0,0
310,Alec Mannix Mcneil,AMM0014,1,0,0,0,0
311,Aquila Mark Vega,AMV0036,0,0,0,0,0
312,Merritt Oliver Phelps,MOP0763,0,0,0,0,0
313,Callum Brendan Gonzalez,CBG0490,1,0,0,0,0
314,Cameron Noel Elliott,CNE0352,0,0,0,0,0
315,Gil Quincy Potter,GQP0743,1,0,0,0,0
316,Philip Travis Hartman,PTH0552,0,0,0,0,0
317,Garrison Levi Rollins,GLR0975,0,0,0,0,0
318,Gareth Thomas Dickson,GTD0219,0,0,0,0,0
319,Blossom Keiko Weiss,BKW0374,0,0,0,1,0
320,Constance Audrey Hicks,CAH0936,0,0,0,1,0
321,Althea Ina Palmer,AIP0982,0,0,0,0,0
322,Kennedy Robert Vega,KRV0372,0,0,0,0,0
323,Ivor Amir Tucker,IAT0263,0,0,0,0,0
324,Jocelyn Brenna Daniels,JBD0616,0,0,0,0,0
325,Roary Ursa Massey,RUM0880,0,0,0,0,0
326,Declan Gareth Mclaughlin,DGM0754,0,0,0,0,0
327,Savannah Marcia Yang,SMY0792,0,0,0,0,0
328,Harrison Oscar Burke,HOB0994,0,0,0,0,0
329,Donovan Garth Nieves,DGN0480,0,0,0,0,0
330,Kirk Jakeem Joyce,KJJ0293,0,0,0,0,0
331,Justin Xerxes Hansen,JXH0493,0,0,0,0,0
332,Peter Gil Harrington,PGH0184,0,0,0,0,0
333,Josiah Preston Wall,JPW0741,0,0,0,0,0
334,Nichole Melodie Gilbert,NMG0766,0,0,0,0,0
335,Heidi Mia Wilson,HMW0713,0,0,0,0,0
336,Malik Adrian Hebert,MAH0864,0,1,0,0,0
337,Quentin Nolan Fitzpatrick,QNF0205,0,0,0,0,0
338,Keane Kennan Watts,KKW0879,0,0,0,0,0
339,Thaddeus Emery Martin,TEM0093,0,0,0,0,0
340,Reuben Victor Freeman,RVF0201,0,0,0,0,0
341,Tobias Martin Ashley,TMA0069,0,0,0,0,0
342,Vernon Finn Mcgee,VFM0814,1,0,0,0,0
343,Salvador Byron Norton,SBN0866,0,0,0,0,0
344,Zenaida Justine England,ZJE0857,0,0,0,0,0
345,Hasad Paki Mcfadden,HPM0986,0,0,0,0,0
346,Cody Jonathan Potter,CJP0952,0,0,0,0,0
347,Dante Raja Roberts,DRR0162,0,0,0,0,0
348,Evelyn Sarah Reilly,ESR0693,0,0,0,0,0
349,Colt Walter Reynolds,CWR0502,0,1,0,0,0
350,Summer Leilani Boyer,SLB0049,0,0,0,0,0
351,Ira Dustin Oneill,IDO0176,0,0,0,0,0
352,Alfonso Gage Blankenship,AGB0186,0,0,0,0,0
353,Roary Jane Barrett,RJB0088,0,0,0,0,0
354,Oren Curran Brady,OCB0805,0,0,0,0,0
355,Elton Tyler Richard,ETR0428,0,0,0,0,0
356,Ivana Kaitlin Parsons,IKP0472,0,0,0,0,0
357,Leo Hasad Byrd,LHB0967,0,0,0,1,0
358,Chester Caldwell Mendoza,CCM0467,0,0,0,0,0
359,Gage Kaden Odonnell,GKO0078,0,1,0,0,0
360,Garrett Nicholas Solomon,GNS0178,0,0,0,0,0
361,Sybill Sage Shaw,SSS0345,0,0,0,0,0
362,Lane Oleg Mclaughlin,LOM0086,0,0,0,0,0
363,Simone Scarlet Rose,SSR0278,0,0,0,0,0
364,Adena Lisandra Hardin,ALH0402,0,0,0,1,0
365,Anastasia Kylan Kaufman,AKK0329,0,0,0,0,0
366,Eugenia Whilemina Harrington,EWH0191,0,0,0,0,0
367,Todd Vance Spears,TVS0050,0,0,0,0,0
368,Troy Uriah Conway,TUC0632,0,0,0,0,0
369,Sonia Karly Goodwin,SKG0759,0,0,0,0,0
370,Isabella Marah Graham,IMG0320,0,0,0,0,0
371,Blair Bruno Grimes,BBG0325,0,1,0,0,0
372,Chanda Tamekah William,CTW0500,0,0,0,0,0
373,Sonya Beatrice Nichols,SBN0495,0,0,0,0,0
374,Emerald Lysandra Hodges,ELH0960,0,0,0,0,0
375,Brynn Madeline Sherman,BMS0877,0,1,0,0,0
376,Thomas Shad Guthrie,TSG0906,0,0,0,0,0
377,Rebecca Kelsie Daugherty,RKD0604,0,1,0,0,0
378,Jakeem Magee Knight,JMK0099,0,0,0,0,0
379,Macon Kyle Pope,MKP0861,0,0,0,0,0
380,Honorato Ivan Wall,HIW0536,0,1,0,0,0
381,Cherokee Tashya Ramirez,CTR0697,0,0,0,0,0
382,Blaine Helen Cervantes,BHC0665,0,0,0,0,0
383,Dominic Calvin Hewitt,DCH0843,0,0,0,0,0
384,Wade Ira Frazier,WIF0691,0,0,0,0,0
385,Hanae Wendy Meyer,HWM0342,0,0,0,0,0
386,Mufutau Nehru Contreras,MNC0717,0,0,0,0,0
387,Abel Reese Boone,ARB0881,0,1,0,0,0
388,Azalia Halee Cantu,AHC0142,0,0,0,0,0
389,Zenia Freya Macias,ZFM0468,0,0,0,0,0
390,Delilah Iliana Wilkinson,DIW0118,0,0,0,0,0
391,Upton Sebastian Holt,USH0199,0,0,1,0,0
392,Mallory Alexis Daniel,MAD0753,1,0,0,0,0
393,Kim Dara Sullivan,KDS0349,0,0,0,0,0
394,Laith Jason Britt,LJB0826,0,0,0,0,0
395,Farrah Kim Keith,FKK0055,1,0,0,0,0
396,Tara Alma Potts,TAP0551,0,0,0,0,0
397,Fletcher Perry Cantu,FPC0954,0,0,1,0,0
398,Galena Britanney Merritt,GBM0603,0,0,0,0,0
399,Casey Xerxes Conrad,CXC0336,0,0,0,0,0
400,Hakeem Mason Mccall,HMM0108,0,0,0,0,0
401,Fritz Dale Ellison,FDE0117,0,0,0,0,0
402,Fatima Ulla Mcclure,FUM0015,0,0,0,1,0
403,Nelle April Bowen,NAB0801,0,0,0,0,0
404,Geoffrey Jin Tucker,GJT0386,0,0,1,0,0
405,Kathleen Aline Chan,KAC0124,0,0,0,0,0
406,Raymond Gray Hyde,RGH0728,0,0,0,0,0
407,Charde Cynthia Rasmussen,CCR0863,0,0,0,0,0
408,Tiger Tucker Dawson,TTD1000,0,0,0,0,0
409,Oleg Kane Britt,OKB0439,0,0,0,0,0
410,Xander Aaron Acevedo,XAA0104,0,0,0,0,0
411,Reuben Fulton Pugh,RFP0380,0,0,0,0,0
412,Josiah Thaddeus Stewart,JTS0389,0,0,0,0,0
413,Cameran Madonna Shepard,CMS0454,0,0,0,0,0
414,Jaden Kylan Buckley,JKB0126,0,0,0,0,0
415,Lillith Adena Matthews,LAM0911,0,0,0,0,0
416,Grady Craig Coffey,GCC0744,0,0,0,0,0
417,Colin Lawrence Holder,CLH0703,1,0,1,0,0
418,Keely Mollie Weiss,KMW0545,0,0,0,0,0
419,Piper Sasha Fuentes,PSF0133,0,0,0,0,0
420,Nathaniel Hunter Heath,NHH0185,0,0,0,0,0
421,Nehru Cyrus Everett,NCE0097,1,0,0,0,0
422,Camilla Camille Leach,CCL0068,0,0,0,0,0
423,Anne Jane Carey,AJC0840,0,0,0,0,0
424,George Cade Chen,GCC0945,0,0,0,0,0
425,Noah Andrew Beck,NAB0903,0,0,0,0,0
426,Alice Orli Stout,AOS0987,0,0,0,0,0
427,Jana Amanda Dorsey,JAD0609,0,0,0,0,0
428,Alea Maggie Whitfield,AMW0392,1,1,0,0,0
429,Fay Ingrid Rodriquez,FIR0920,0,0,0,0,0
430,Rowan Neve Parks,RNP0211,0,0,0,0,0
431,Rose Hanae Yates,RHY0079,0,0,0,0,0
432,Chiquita Linda Stokes,CLS0296,0,0,0,0,0
433,Julian Samson Allen,JSA0775,1,1,0,0,0
434,Rina Denise Mcgee,RDM0115,0,0,0,0,0
435,Joel Kennan Mccarty,JKM0303,1,0,0,0,0
436,Irene Jemima Meyers,IJM0139,0,0,0,0,0
437,September Vielka Livingston,SVL0940,0,0,0,0,0
438,Lacota Dahlia Good,LDG0459,0,0,0,1,0
439,Raymond Otto Bond,ROB0272,0,0,0,0,0
440,Lamar Nissim Strickland,LNS0989,0,0,0,0,0
441,Charissa Nyssa Mcgee,CNM0800,0,0,0,0,0
442,Halla Germaine Nolan,HGN0287,0,0,0,0,0
443,Kay Maxine Skinner,KMS0657,0,0,0,0,0
444,Beverly Melissa Garner,BMG0917,0,0,0,0,0
445,Hollee Vanna Becker,HVB0037,0,0,0,0,0
446,Phelan Nissim Howell,PNH0761,0,1,0,0,0
447,Jackson Linus Wilkerson,JLW0053,0,0,0,0,0
448,Justine Nola Adkins,JNA0559,0,0,0,0,0
449,Orla Yolanda Middleton,OYM0026,0,0,0,0,0
450,Naida Imelda Hughes,NIH0969,0,0,0,0,0
451,Rogan Chandler Coffey,RCC0617,0,1,0,0,0
452,Grady Jordan Duran,GJD0298,0,0,0,0,0
453,Marcia Lillian Lynn,MLL0598,0,0,0,1,0
454,Daria Samantha Mcbride,DSM0591,0,0,0,0,0
455,Bernard Tobias Landry,BTL0226,0,0,0,0,0
456,Selma Barbara Nicholson,SBN0971,0,0,0,1,0
457,Camilla Claire Whitehead,CCW0524,0,0,0,0,0
458,Ira Wyatt Moss,IWM0816,0,0,1,0,0
459,John Omar Lancaster,JOL0024,1,0,0,0,0
